cpv_full,cpv_desc,cpv_short_8,cpv_short_6,cpv_short_4,cpv_short_2
90410000,sewage removal services,90410000,904100,9041,90
90450000,treatment services of septic tanks,90450000,904500,9045,90
90481000,operation of a sewage plant,90481000,904810,9048,90
45232154,construction work of elevated tanks for drinking water,45232154,452321,4523,45
45232400,sewer construction work,45232400,452324,4523,45
45232430,watertreatment work,45232430,452324,4523,45
45232451,drainage and surface works,45232451,452324,4523,45
45232100,ancillary works for water pipelines,45232100,452321,4523,45
45231300,construction work for water and sewage pipelines,45231300,452313,4523,45
44133000,ductileiron end caps,44133000,441330,4413,44
42122220,sewage pumps,42122220,421222,4212,42
42996300,scrapers,42996300,429963,4299,42
42996800,sedimentation beds,42996800,429968,4299,42
90490000,sewer survey and sewage treatment consultancy services,90490000,904900,9049,90
45252110,mobile plant construction work,45252110,452521,4525,45
45252123,screening installations,45252123,452521,4525,45
45252127,wastewater treatment plant construction work,45252127,452521,4525,45
45253310,waterdistillation plants construction work,45253310,452533,4525,45
45232423,sewage pumping stations construction work,45232423,452324,4523,45
90420000,sewage treatment services,90420000,904200,9042,90
90460000,cesspool or septic tank emptying services,90460000,904600,9046,90
90490000,sewer survey and sewage treatment consultancy services,90490000,904900,9049,90
44161200,water mains,44161200,441612,4416,44
45232410,sewerage work,45232410,452324,4523,45
45232431,wastewater pumping station,45232431,452324,4523,45
45232452,drainage works,45232452,452324,4523,45
45232120,irrigation works,45232120,452321,4523,45
44130000,sewer mains,44130000,441300,4413,44
44134000,bends,44134000,441340,4413,44
42996000,machinery for the treatment of sewage,42996000,429960,4299,42
42996400,mixer units,42996400,429964,4299,42
42996900,sludgeprocessing equipment,42996900,429969,4299,42
90491000,sewer survey services,90491000,904910,9049,90
45252120,watertreatment plant construction work,45252120,452521,4525,45
45252124,dredging and pumping works,45252124,452521,4525,45
45252130,sewage plant equipment,45252130,452521,4525,45
45232420,sewage work,45232420,452324,4523,45
39350000,sewerage works equipment,39350000,393500,3935,39
90430000,sewage disposal services,90430000,904300,9043,90
90470000,sewer cleaning services,90470000,904700,9047,90
90491000,sewer survey services,90491000,904910,9049,90
90492000,sewage treatment consultancy services,90492000,904920,9049,90
